vial,spot,layer,analyte,mgl
334-21,12,Pel,NO2 mg/l,0.0014
324-21,2,Pel,NO2 mg/l,0.0014
335-21,13,Pel,NO2 mg/l,8.5e-4
340-21,18,Pel,NO2 mg/l,0.0017
339-21,17,Pel,NO2 mg/l,8.6e-4
326-21,4,Pel,NO2 mg/l,0.0012
323-21,1,Pel,NO2 mg/l,0.0012
336-21,14,Pel,NO2 mg/l,0.0017
345-21,23,Pel,NO2 mg/l,NA
337-21,15,Pel,NO2 mg/l,0.0014
328-21,6,Pel,NO2 mg/l,6e-4
325-21,3,Pel,NO2 mg/l,0.0021
338-21,16,Pel,NO2 mg/l,5.9e-4
356-21,2,Int,NO3 mg/l,0.06
371-21,17,Int,NO3 mg/l,0.02
368-21,14,Int,NO3 mg/l,0.02
373-21,19,Int,NO3 mg/l,0.055
379-21,15,Int,NO3 mg/l,0.46
379-21,25,Int,NO3 mg/l,0.46
376-21,22,Int,NO3 mg/l,NA
365-21,11,Int,NO3 mg/l,0.098
370-21,16,Int,NO3 mg/l,0.035
385-21,31,Int,NO3 mg/l,0.25
357-21,3,Int,NO3 mg/l,0.097
366-21,12,Int,NO3 mg/l,0.19
382-21,28,Int,NO3 mg/l,NA
362-21,8,Int,NO3 mg/l,0.026
378-21,24,Int,NO3 mg/l,0.064
383-21,29,Int,NO3 mg/l,0.15
380-21,26,Int,NO3 mg/l,0.22
359-21,5,Int,NO3 mg/l,0.068
367-21,13,Int,NO3 mg/l,NA
372-21,18,Int,NO3 mg/l,0.22
374-21,20,Int,NO3 mg/l,0.16
364-21,10,Int,NO3 mg/l,0.06
355-21,1,Int,NO3 mg/l,0.1
377-21,23,Int,NO3 mg/l,0.064
360-21,6,Int,NO3 mg/l,0.11
363-21,9,Int,NO3 mg/l,0.019
375-21,21,Int,NO3 mg/l,0.21
361-21,7,Int,NO3 mg/l,0.065
358-21,4,Int,NO3 mg/l,0.13
384-21,30,Int,NO3 mg/l,0.084
344-21,22,Pel,NO3 mg/l,NA
341-21,19,Pel,NO3 mg/l,0.0026
350-21,28,Pel,NO3 mg/l,NA
343-21,21,Pel,NO3 mg/l,NA
351-21,29,Pel,NO3 mg/l,NA
353-21,31,Pel,NO3 mg/l,NA
346-21,24,Pel,NO3 mg/l,0.0023
331-21,9,Pel,NO3 mg/l,NA
348-21,26,Pel,NO3 mg/l,NA
347-21,25,Pel,NO3 mg/l,NA
332-21,10,Pel,NO3 mg/l,NA
330-21,8,Pel,NO3 mg/l,NA
333-21,11,Pel,NO3 mg/l,0.002
342-21,20,Pel,NO3 mg/l,NA
327-21,5,Pel,NO3 mg/l,NA
329-21,7,Pel,NO3 mg/l,NA
352-21,30,Pel,NO3 mg/l,NA
334-21,12,Pel,NO3 mg/l,NA
324-21,2,Pel,NO3 mg/l,NA
335-21,13,Pel,NO3 mg/l,NA
340-21,18,Pel,NO3 mg/l,NA
339-21,17,Pel,NO3 mg/l,NA
326-21,4,Pel,NO3 mg/l,NA
323-21,1,Pel,NO3 mg/l,NA
336-21,14,Pel,NO3 mg/l,NA
345-21,23,Pel,NO3 mg/l,NA
337-21,15,Pel,NO3 mg/l,NA
328-21,6,Pel,NO3 mg/l,NA
325-21,3,Pel,NO3 mg/l,NA
338-21,16,Pel,NO3 mg/l,NA
356-21,2,Int,Total P mg/l,0.51
371-21,17,Int,Total P mg/l,2.2
368-21,14,Int,Total P mg/l,0.95
373-21,19,Int,Total P mg/l,2.9
379-21,15,Int,Total P mg/l,0.48
