analyte,term,benthic_range,benthic_nugget,benthic_value,benthic_std_error,benthic_t_value,benthic_p_value,pelagic_range,pelagic_nugget,pelagic_value,pelagic_std_error,pelagic_t_value,pelagic_p_value,pelben_range,pelben_nugget,pelben_value,pelben_std_error,pelben_t_value,pelben_p_value
nh4_nh3,Intercept,30.70015226970298,0.11646137263996932,-1.015140454446019,1.3173881656492819,-0.7705704976829677,0.4476522722692463,13087180.156628864,8.02464181748208e-5,-0.010004725833943219,1.8291814046531623,-0.005469509917656446,0.9956761969580294,135.6531890673047,0.11953062456511931,0.027198177230403197,0.010790346421856013,2.520602783921086,0.0179303630325941
nh4_nh3,eaststd,30.70015226970298,0.11646137263996932,0.7059139610559053,0.27730351471905323,2.5456365447480667,0.016930144734762897,13087180.156628864,8.02464181748208e-5,0.0020280462907324927,0.008369457853638173,0.24231513273597624,0.8103671783390988,135.6531890673047,0.11953062456511931,-2.6147854839038057e-4,0.0022700919610134937,-0.11518412156027467,0.9091515513815602
nh4_nh3,northstd,30.70015226970298,0.11646137263996932,0.4070349362830184,0.25253282058233795,1.6118100425299184,0.11863300327059877,13087180.156628864,8.02464181748208e-5,7.332795318980254e-4,0.008041744990918424,0.09118413139512892,0.9280194270851775,135.6531890673047,0.11953062456511931,-0.0013144898242964955,0.0020676300127265576,-0.63574711926487,0.5302934966274171
no2,Intercept,388.75242393069453,1.2276489653283393e-7,0.020969771077546537,0.005220273642922366,4.016986945881142,4.23115824537833e-4,114.37607516434673,0.11830407478499466,0.001308255023916653,2.8933719486845907e-4,4.521558400092401,1.1013435090094091e-4,111.279354765306,0.11708582204478865,0.051132190747151245,0.012284464721974548,4.162345849362535,2.876760797377921e-4
no2,eaststd,388.75242393069453,1.2276489653283393e-7,0.0026860205736591544,0.0010832689057400792,2.479551069384836,0.019689539588761545,114.37607516434673,0.11830407478499466,7.992720153059357e-5,6.088997582777458e-5,1.3126495854862088,0.2003499899230048,111.279354765306,0.11708582204478865,7.676693858056313e-4,0.002585303848396812,0.2969358461604717,0.7687879001735687
no2,northstd,388.75242393069453,1.2276489653283393e-7,-3.877555182614777e-5,9.83601266801453e-4,-0.039422023064529965,0.96884397806762,114.37607516434673,0.11830407478499466,-1.411412216530379e-4,5.545552912665129e-5,-2.5451244244860525,0.01695007791816739,111.279354765306,0.11708582204478865,-0.003932530012867401,0.002354542516539705,-1.6701885760154995,0.10643655460205359
no3,Intercept,101.0611073998764,1.1624579472559303e-6,0.10877897853338048,0.058701961103323784,1.8530723077873674,0.0748314799718372,436.79500685207154,1.1361617227631452e-6,-9.779704084684554e-5,4.1212329246173395e-4,-0.23730044536593645,0.8142151048361421,NA,NA,NA,NA,NA,NA
no3,eaststd,101.0611073998764,1.1624579472559303e-6,0.01294024066926219,0.012354894521012977,1.0473776726505974,0.3042114289468533,436.79500685207154,1.1361617227631452e-6,3.37869133836293e-5,8.519656343653356e-5,0.3965760122331527,0.6947972640064598,NA,NA,NA,NA,NA,NA
no3,northstd,101.0611073998764,1.1624579472559303e-6,-0.011015202445375577,0.011251856539612519,-0.978967551407735,0.3362868933303641,436.79500685207154,1.1361617227631452e-6,4.8029550670751406e-5,7.731369386859516e-5,0.6212295424971412,0.5396584716092423,NA,NA,NA,NA,NA,NA
po4,Intercept,774.4327551315122,1.1059297350985741e-7,-0.0676058155585818,0.9576341030702552,-0.07059670843157308,0.944239041694091,11025008.648992121,2.6566741999151214e-4,0.011126254752516343,0.295105216419919,0.03770267055084609,0.9702021343486873,6142617.749090857,0.001969534114771514,0.028901069642675803,0.49906397323255236,0.05791055093694084,0.954246348064711
po4,eaststd,774.4327551315122,1.1059297350985741e-7,0.1949961480736938,0.19172721622635447,1.0170499103449142,0.3181572358633585,11025008.648992121,2.6566741999151214e-4,0.001981355315618512,0.0015469266249251057,1.2808334174960878,0.21114541277514498,6142617.749090857,0.001969534114771514,0.00405329644731384,0.004089648019068263,0.9911113201955446,0.33043083082873215
po4,northstd,774.4327551315122,1.1059297350985741e-7,0.12083004633901091,0.17447409593092977,0.6925386011849273,0.4945129700536969,11025008.648992121,2.6566741999151214e-4,-0.0025919421008229414,0.0014769682438830324,-1.7549071292207206,0.0906182639453521,6142617.749090857,0.001969534114771514,-0.006271861516230549,0.003855095521751293,-1.6269017151049392,0.11537395621967965
tn,Intercept,31.048785154709638,0.10585277015347656,0.41195250812830775,1.3315830007781446,0.30937050704880786,0.7594146356937317,3811.4454422382955,0.09119864219579168,0.2805885726990296,0.1335391998240747,2.101170091393977,0.045097605127793955,284.5294548104953,2.624108555243256e-7,0.2048531723365253,0.054520813584163906,3.7573388742685028,8.379591217975393e-4
tn,eaststd,31.048785154709638,0.10585277015347656,0.39992909228556894,0.28029145537593425,1.4268329790830532,0.16509069964115292,3811.4454422382955,0.09119864219579168,-0.015862504648744277,0.021557825373466056,-0.7358119093156895,0.4681897674858928,284.5294548104953,2.624108555243256e-7,-0.008846686012694546,0.011394899825517626,-0.7763724252216211,0.44427752612175686
tn,northstd,31.048785154709638,0.10585277015347656,0.5641893990896344,0.25525385743500817,2.2103070439720436,0.035744898029028166,3811.4454422382955,0.09119864219579168,0.006786410514388454,0.02022974848487706,0.33546687540192105,0.7398656530859098,284.5294548104953,2.624108555243256e-7,-0.012326801347093824,0.010366446201990849,-1.1891058041401397,0.2447510098055479
tp,Intercept,674.5677852725757,1.979844477265455e-7,-0.10612824055882464,0.78753089214006,-0.13476073334777838,0.8938006394853373,338.10222186114913,2.2107336637089682e-7,0.017358465735496473,0.0024984853257729958,6.947595631815853,1.8187206657484328e-7,460.27608385479755,1.6412136920944351e-7,0.06813402117646897,0.023406402424584825,2.910913857693255,0.007139731035014646
tp,eaststd,674.5677852725757,1.979844477265455e-7,0.16836747625303664,0.15926413871884865,1.0571587402375513,0.2998065088090171,338.10222186114913,2.2107336637089682e-7,7.747665141933648e-4,5.203726180084176e-4,1.4888687209533997,0.14811052229996802,460.27608385479755,1.6412136920944351e-7,0.0025169279354988936,0.00482925707399879,0.5211832579901967,0.6064879109781166
tp,northstd,674.5677852725757,1.979844477265455e-7,0.1485998432562863,0.14468670657940963,1.0270455853850609,0.3135127327135572,338.10222186114913,2.2107336637089682e-7,-0.0026095855899955908,4.7290778163504424e-4,-5.518170119707353,7.596554500942943e-6,460.27608385479755,1.6412136920944351e-7,-0.012137983039117154,0.00438167353193258,-2.770170563977088,0.010012199409822013
